Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Incident Resolution Time (in Hours),Financial Loss (in Million $)
Ransomware,Government,211205,Insider,Unpatched Software,54,38.84
Malware,Telecommunications,483399,Insider,Zero-day,50,42.79
DDoS,Telecommunications,699791,Nation-state,Weak Passwords,2,97.83
Phishing,Education,679314,Nation-state,Unpatched Software,39,10.04
SQL Injection,Retail,466897,Insider,Unpatched Software,58,96.97
SQL Injection,Healthcare,175957,Hacker Group,Zero-day,69,41.05
Ransomware,Government,912202,Nation-state,Weak Passwords,15,10.37
DDoS,Education,985398,Nation-state,Social Engineering,54,33.73
SQL Injection,Education,715127,Nation-state,Weak Passwords,60,4.18
Malware,Retail,472835,Hacker Group,Unpatched Software,57,72.24
DDoS,Healthcare,412019,Unknown,Weak Passwords,34,98.25
SQL Injection,Retail,172469,Insider,Weak Passwords,16,85.69
Phishing,Banking,893284,Unknown,Unpatched Software,21,39.12
Malware,Telecommunications,586,Hacker Group,Zero-day,23,82.66
Phishing,IT,845169,Nation-state,Social Engineering,1,49.12
Ransomware,Government,184748,Unknown,Unpatched Software,4,89.36
Malware,Healthcare,783976,Nation-state,Weak Passwords,62,77.84
Phishing,IT,282583,Unknown,Weak Passwords,15,49.84
SQL Injection,Healthcare,591828,Unknown,Unpatched Software,16,96.31
SQL Injection,Government,27344,Nation-state,Zero-day,1,18.44
Ransomware,Healthcare,200307,Unknown,Social Engineering,59,18.16
Man-in-the-Middle,IT,528411,Insider,Zero-day,10,68.28
Phishing,Banking,551812,Insider,Weak Passwords,69,95.72
SQL Injection,Education,975019,Unknown,Unpatched Software,38,96.6
DDoS,Government,399851,Nation-state,Social Engineering,38,97.15
Ransomware,Government,998833,Hacker Group,Social Engineering,21,79.3
Man-in-the-Middle,Education,517640,Hacker Group,Unpatched Software,4,76.35
DDoS,Banking,615332,Hacker Group,Social Engineering,65,33.51
SQL Injection,Healthcare,592364,Insider,Weak Passwords,21,96.08
Phishing,Education,943680,Insider,Zero-day,46,33.69
Man-in-the-Middle,Retail,506551,Unknown,Unpatched Software,53,17.99
Ransomware,Government,122651,Insider,Weak Passwords,59,86.84
Man-in-the-Middle,Retail,459039,Nation-state,Weak Passwords,68,97.62
Ransomware,IT,176331,Insider,Weak Passwords,25,25.85
Ransomware,Healthcare,543437,Unknown,Unpatched Software,20,27.37
SQL Injection,Telecommunications,859311,Insider,Zero-day,47,29.02
DDoS,Retail,877041,Unknown,Unpatched Software,48,90.78
Ransomware,Healthcare,657939,Nation-state,Social Engineering,47,42.33
DDoS,Banking,920270,Nation-state,Unpatched Software,20,81.89
Ransomware,Healthcare,905935,Unknown,Unpatched Software,60,43.81
Malware,Telecommunications,217863,Insider,Unpatched Software,31,93.71
Man-in-the-Middle,Government,930468,Insider,Social Engineering,35,54.29
Phishing,Healthcare,179545,Unknown,Zero-day,15,55.72
Ransomware,Retail,582097,Insider,Weak Passwords,40,5.57
SQL Injection,Banking,360752,Unknown,Zero-day,21,48.1
Phishing,Retail,907128,Insider,Unpatched Software,13,25.79
Man-in-the-Middle,Banking,817793,Hacker Group,Social Engineering,64,14.84
Malware,Healthcare,922209,Nation-state,Zero-day,27,85.76
DDoS,Retail,411707,Insider,Social Engineering,42,18.76
Phishing,Healthcare,847958,Insider,Weak Passwords,32,38.19
Man-in-the-Middle,Banking,187807,Nation-state,Unpatched Software,37,38.1
SQL Injection,Telecommunications,637350,Unknown,Weak Passwords,52,10.18
SQL Injection,IT,237068,Hacker Group,Zero-day,65,36.27
Ransomware,Government,819812,Nation-state,Unpatched Software,63,92.07
SQL Injection,Healthcare,434510,Hacker Group,Social Engineering,72,72.9
DDoS,Telecommunications,513601,Nation-state,Unpatched Software,14,57.52
Malware,Healthcare,821803,Unknown,Social Engineering,40,5.79
Man-in-the-Middle,IT,12585,Unknown,Zero-day,30,14.68
Man-in-the-Middle,Telecommunications,405253,Hacker Group,Unpatched Software,52,10.12
DDoS,IT,703035,Unknown,Unpatched Software,15,86.89
Phishing,Government,580402,Nation-state,Social Engineering,70,9.84
Man-in-the-Middle,Education,640572,Hacker Group,Social Engineering,51,49.94
Phishing,Banking,85528,Hacker Group,Social Engineering,55,75.13
Malware,Healthcare,79940,Unknown,Zero-day,64,33.21
SQL Injection,Telecommunications,215401,Hacker Group,Social Engineering,50,54.41
Malware,IT,450313,Nation-state,Zero-day,26,59.56
Malware,Retail,461668,Nation-state,Unpatched Software,10,45.71
Man-in-the-Middle,Banking,71156,Insider,Social Engineering,34,4.94
Ransomware,Government,201732,Unknown,Zero-day,39,89.47
Man-in-the-Middle,Government,322132,Nation-state,Weak Passwords,44,45.91
Phishing,Banking,854309,Insider,Zero-day,16,82.85
Phishing,Retail,998085,Insider,Zero-day,7,89.85
Malware,IT,479628,Insider,Weak Passwords,13,10.81
Malware,Healthcare,554162,Insider,Weak Passwords,33,34.32
Phishing,Government,653402,Hacker Group,Social Engineering,5,92.54
Man-in-the-Middle,Government,119785,Hacker Group,Unpatched Software,14,62.9
DDoS,Banking,754656,Hacker Group,Unpatched Software,35,48.76
Malware,Retail,848855,Unknown,Unpatched Software,37,41.11
SQL Injection,Healthcare,328454,Nation-state,Zero-day,10,57.2
DDoS,Education,510702,Hacker Group,Weak Passwords,15,13.13
Man-in-the-Middle,Education,248083,Hacker Group,Social Engineering,70,20.96
DDoS,Government,746425,Unknown,Zero-day,24,42.75
Ransomware,Education,336607,Unknown,Zero-day,17,82.89
Ransomware,Government,570810,Insider,Social Engineering,72,21.21
Malware,Banking,162930,Insider,Unpatched Software,13,12.25
SQL Injection,Education,244406,Nation-state,Social Engineering,43,61.87
DDoS,Education,604557,Nation-state,Social Engineering,20,71.12
Man-in-the-Middle,Education,313397,Hacker Group,Social Engineering,36,26.58
Malware,Retail,696902,Nation-state,Unpatched Software,21,5.24
Phishing,Banking,156576,Hacker Group,Unpatched Software,72,30.39
Phishing,Healthcare,843310,Hacker Group,Zero-day,71,66.55
DDoS,Telecommunications,281862,Insider,Social Engineering,4,83.02
Ransomware,IT,526308,Insider,Unpatched Software,23,88.23
DDoS,IT,826924,Insider,Social Engineering,35,5.18
DDoS,IT,928751,Insider,Social Engineering,26,13.77
Ransomware,Education,304804,Hacker Group,Weak Passwords,53,21.9
Man-in-the-Middle,Education,960625,Nation-state,Weak Passwords,48,34.42
Ransomware,Government,264088,Unknown,Weak Passwords,28,57.9
Phishing,Healthcare,633750,Insider,Unpatched Software,45,61.97
Ransomware,Healthcare,255531,Unknown,Social Engineering,17,56.11
Ransomware,Banking,874035,Insider,Unpatched Software,38,50.64
DDoS,Healthcare,632431,Insider,Zero-day,55,64.99
Ransomware,Education,939146,Nation-state,Zero-day,56,69.04
Man-in-the-Middle,Retail,633855,Hacker Group,Social Engineering,37,13.82
Malware,Government,686176,Nation-state,Zero-day,62,22.48
Malware,Retail,561807,Unknown,Zero-day,17,11.31
SQL Injection,Government,15768,Unknown,Zero-day,66,60.53
Malware,Healthcare,32423,Hacker Group,Weak Passwords,45,98.45
SQL Injection,IT,329378,Nation-state,Weak Passwords,61,97.06
Phishing,Healthcare,541451,Hacker Group,Weak Passwords,17,64.7
Man-in-the-Middle,Education,255393,Unknown,Unpatched Software,71,1.05
Phishing,Government,141115,Hacker Group,Zero-day,9,89.97
Man-in-the-Middle,Telecommunications,358210,Nation-state,Zero-day,11,48.58
Man-in-the-Middle,Education,60322,Insider,Zero-day,22,16.42
Ransomware,Government,555153,Unknown,Zero-day,11,15.42
SQL Injection,Healthcare,98266,Insider,Social Engineering,18,47.15
Man-in-the-Middle,IT,633511,Insider,Zero-day,58,52.8
Man-in-the-Middle,Banking,976213,Unknown,Social Engineering,28,64.88
DDoS,Telecommunications,838739,Unknown,Social Engineering,21,94.1
Ransomware,IT,367503,Nation-state,Weak Passwords,17,23.18
Ransomware,Education,598614,Insider,Social Engineering,59,17.44
Phishing,Retail,629571,Hacker Group,Unpatched Software,41,22.72
Man-in-the-Middle,Education,834355,Nation-state,Unpatched Software,71,69.99
Man-in-the-Middle,IT,731495,Nation-state,Unpatched Software,3,87.88
SQL Injection,Retail,354637,Insider,Social Engineering,63,69.91
Ransomware,Banking,60428,Nation-state,Weak Passwords,27,27.45
DDoS,Retail,95351,Nation-state,Unpatched Software,11,13.17
Phishing,Retail,826159,Insider,Weak Passwords,3,50.99
SQL Injection,Healthcare,234301,Insider,Zero-day,32,66.92
Phishing,Healthcare,551014,Nation-state,Social Engineering,71,39.47
SQL Injection,Telecommunications,809757,Nation-state,Social Engineering,61,4.35
Malware,Healthcare,612319,Unknown,Social Engineering,47,24.06
Phishing,Telecommunications,312051,Nation-state,Unpatched Software,41,21.8
Phishing,Banking,279786,Insider,Zero-day,46,89.74
Phishing,Government,847817,Hacker Group,Social Engineering,13,72.34
Man-in-the-Middle,Education,382682,Nation-state,Zero-day,12,37.48
Phishing,IT,159917,Insider,Zero-day,47,38.2
Man-in-the-Middle,Government,841548,Unknown,Zero-day,68,85.85
DDoS,Healthcare,751586,Nation-state,Social Engineering,24,5.5
Man-in-the-Middle,Banking,680154,Nation-state,Zero-day,2,53.51
Phishing,Education,978508,Insider,Weak Passwords,42,37.38
Man-in-the-Middle,IT,392247,Unknown,Zero-day,7,84.55
SQL Injection,Retail,446911,Unknown,Weak Passwords,25,34.87
Ransomware,IT,777799,Insider,Weak Passwords,2,17.26
Ransomware,Healthcare,799581,Nation-state,Zero-day,50,82.99
Man-in-the-Middle,Retail,819676,Hacker Group,Zero-day,59,85.34
SQL Injection,Telecommunications,192430,Nation-state,Unpatched Software,49,31.46
DDoS,Telecommunications,735,Hacker Group,Unpatched Software,69,74.5
Ransomware,Healthcare,654947,Insider,Social Engineering,23,12.79
DDoS,Banking,327826,Hacker Group,Social Engineering,35,10.01
Man-in-the-Middle,Healthcare,106126,Unknown,Weak Passwords,19,23.99
Man-in-the-Middle,IT,46493,Insider,Unpatched Software,62,34.57
Man-in-the-Middle,Education,733307,Nation-state,Social Engineering,29,15.78
Malware,Government,789673,Unknown,Weak Passwords,31,71.91
Ransomware,Education,159061,Insider,Weak Passwords,12,64.93
Phishing,Education,80748,Hacker Group,Zero-day,8,6.35
Man-in-the-Middle,IT,697536,Unknown,Social Engineering,72,85.85
SQL Injection,Healthcare,748146,Insider,Weak Passwords,13,46.5
Man-in-the-Middle,Telecommunications,803579,Unknown,Weak Passwords,1,64.39
Phishing,Retail,537683,Insider,Unpatched Software,41,13.47
DDoS,Retail,743271,Nation-state,Social Engineering,10,40.72
Malware,Telecommunications,215231,Unknown,Zero-day,49,36.01
Phishing,Banking,135941,Nation-state,Social Engineering,7,57.89
Phishing,IT,362478,Hacker Group,Zero-day,67,7.95
DDoS,Education,537149,Nation-state,Unpatched Software,54,13.89
SQL Injection,Retail,162061,Insider,Zero-day,32,96.28
Ransomware,Banking,455702,Hacker Group,Weak Passwords,5,94.63
Ransomware,Telecommunications,448367,Nation-state,Social Engineering,7,13.26
Malware,Retail,603904,Nation-state,Unpatched Software,38,21.92
Malware,IT,331741,Hacker Group,Social Engineering,29,81.81
Ransomware,Education,983506,Hacker Group,Social Engineering,35,58.79
Phishing,Retail,914743,Insider,Social Engineering,69,14.72
Malware,Banking,258587,Insider,Social Engineering,7,59.7
Man-in-the-Middle,Retail,527964,Insider,Zero-day,28,16.26
Phishing,Banking,593384,Unknown,Zero-day,65,29.61
Malware,IT,386972,Insider,Unpatched Software,56,82.38
DDoS,Healthcare,644339,Insider,Unpatched Software,71,96.49
DDoS,Healthcare,782425,Insider,Weak Passwords,13,76.39
SQL Injection,Banking,84185,Nation-state,Weak Passwords,2,79.98
Malware,Healthcare,337120,Insider,Weak Passwords,59,91.65
Phishing,Banking,241282,Hacker Group,Social Engineering,55,3.84
DDoS,Healthcare,734819,Unknown,Unpatched Software,50,97.15
DDoS,Healthcare,8517,Hacker Group,Weak Passwords,4,77.04
Man-in-the-Middle,Government,865257,Nation-state,Social Engineering,19,91.52
SQL Injection,Education,662428,Insider,Weak Passwords,4,37.4
Malware,Healthcare,646567,Insider,Unpatched Software,15,11.89
DDoS,Telecommunications,266748,Unknown,Unpatched Software,30,43.29
Ransomware,Retail,771367,Hacker Group,Social Engineering,5,92.88
DDoS,Banking,948174,Unknown,Social Engineering,4,99.81
DDoS,Healthcare,460264,Unknown,Social Engineering,9,62.74
DDoS,Government,794147,Unknown,Unpatched Software,4,96.89
SQL Injection,IT,72222,Unknown,Weak Passwords,64,43.86
DDoS,Telecommunications,995231,Nation-state,Weak Passwords,53,66.27
Malware,Retail,841766,Nation-state,Social Engineering,16,90.8
Man-in-the-Middle,IT,566542,Unknown,Weak Passwords,58,95.04
Malware,Healthcare,781284,Hacker Group,Weak Passwords,11,12.67
Phishing,IT,361270,Nation-state,Weak Passwords,31,89.59
Malware,Telecommunications,404834,Hacker Group,Zero-day,62,97.03
DDoS,Government,374484,Unknown,Unpatched Software,46,53.46
SQL Injection,IT,681476,Unknown,Weak Passwords,6,21.02
SQL Injection,Retail,514826,Hacker Group,Unpatched Software,72,15.39
Malware,Education,742866,Nation-state,Social Engineering,61,97.32
Ransomware,Healthcare,639896,Hacker Group,Social Engineering,63,61.66
SQL Injection,IT,42346,Hacker Group,Unpatched Software,33,15.29
Malware,Telecommunications,235399,Unknown,Social Engineering,21,5.88
Man-in-the-Middle,Retail,448426,Nation-state,Weak Passwords,36,24.93
Ransomware,Retail,467137,Nation-state,Social Engineering,14,97.37
SQL Injection,Education,364107,Hacker Group,Social Engineering,28,11.49
Man-in-the-Middle,Government,357898,Hacker Group,Social Engineering,27,4.05
DDoS,Banking,605118,Insider,Social Engineering,30,76.9
Man-in-the-Middle,Education,106169,Nation-state,Unpatched Software,28,96.44
Ransomware,Healthcare,157547,Insider,Unpatched Software,29,34.29
SQL Injection,Healthcare,242677,Insider,Social Engineering,21,56.63
SQL Injection,Banking,385872,Insider,Zero-day,50,63.67
DDoS,Retail,148209,Insider,Weak Passwords,54,80.85
DDoS,Healthcare,387457,Nation-state,Weak Passwords,61,9.5
Malware,IT,404004,Nation-state,Social Engineering,58,47.22
Ransomware,Retail,981029,Nation-state,Weak Passwords,42,28.98
Malware,Telecommunications,389525,Unknown,Zero-day,32,96.63
SQL Injection,IT,764974,Nation-state,Weak Passwords,18,43.97
Man-in-the-Middle,Healthcare,621971,Nation-state,Weak Passwords,49,91.4
SQL Injection,IT,680584,Insider,Zero-day,5,53.71
SQL Injection,Education,907858,Nation-state,Social Engineering,47,15.36
SQL Injection,Banking,983047,Hacker Group,Unpatched Software,19,80.68
Malware,Government,610049,Hacker Group,Social Engineering,37,17.3
SQL Injection,IT,100105,Unknown,Zero-day,56,52.16
SQL Injection,Government,59398,Hacker Group,Zero-day,8,89.46
Malware,Banking,91974,Hacker Group,Zero-day,41,35.91
Ransomware,Healthcare,785564,Insider,Unpatched Software,70,9.32
Phishing,Banking,597516,Nation-state,Unpatched Software,15,15.21
Ransomware,IT,799372,Hacker Group,Zero-day,14,17.98
SQL Injection,Banking,77096,Unknown,Weak Passwords,29,32.84
Man-in-the-Middle,Retail,610786,Nation-state,Social Engineering,31,59.18
SQL Injection,Telecommunications,667271,Insider,Weak Passwords,22,28.33
Phishing,Banking,133315,Nation-state,Weak Passwords,25,33.27
SQL Injection,Government,381105,Unknown,Weak Passwords,3,24.93
Ransomware,Banking,795120,Unknown,Social Engineering,42,98.07
SQL Injection,Healthcare,198285,Nation-state,Unpatched Software,56,67.13
DDoS,Government,580270,Unknown,Unpatched Software,35,34.46
Ransomware,Retail,277410,Hacker Group,Social Engineering,42,45.67
Man-in-the-Middle,Government,793946,Nation-state,Weak Passwords,12,38.29
Ransomware,Banking,126770,Insider,Weak Passwords,67,15.21
Phishing,IT,66776,Unknown,Zero-day,29,55.18
DDoS,Telecommunications,434797,Insider,Social Engineering,21,83.5
SQL Injection,Retail,901137,Nation-state,Zero-day,10,3.07
Man-in-the-Middle,Banking,427407,Unknown,Unpatched Software,47,34.59
Phishing,Banking,959107,Unknown,Zero-day,35,28.75
Man-in-the-Middle,IT,12439,Nation-state,Weak Passwords,20,55.23
Man-in-the-Middle,Banking,292854,Nation-state,Unpatched Software,14,14.45
Malware,Banking,189116,Insider,Social Engineering,53,66.06
Phishing,Telecommunications,889404,Unknown,Weak Passwords,60,19.6
Man-in-the-Middle,Retail,566242,Nation-state,Social Engineering,63,58.98
SQL Injection,IT,694491,Unknown,Unpatched Software,65,86.67
DDoS,Education,297721,Nation-state,Weak Passwords,29,51.54
SQL Injection,Education,394335,Unknown,Zero-day,43,13.61
Man-in-the-Middle,IT,590262,Insider,Unpatched Software,15,57.14
DDoS,IT,846200,Unknown,Social Engineering,26,91.79
Phishing,Telecommunications,44385,Hacker Group,Weak Passwords,18,89.85
Phishing,Banking,408446,Insider,Social Engineering,43,44.7
DDoS,Education,806965,Insider,Social Engineering,56,54.0
Ransomware,Education,587346,Hacker Group,Social Engineering,39,79.93
Phishing,Education,552342,Unknown,Zero-day,62,2.43
DDoS,Education,47104,Insider,Social Engineering,5,66.65
DDoS,Retail,586557,Hacker Group,Social Engineering,37,13.83
Malware,Government,500857,Hacker Group,Zero-day,35,2.65
Man-in-the-Middle,Banking,977913,Hacker Group,Weak Passwords,70,65.51
Malware,Telecommunications,894858,Hacker Group,Social Engineering,19,68.64
Man-in-the-Middle,IT,574089,Unknown,Unpatched Software,32,75.81
DDoS,Healthcare,232622,Nation-state,Weak Passwords,33,62.99
Malware,Retail,917351,Unknown,Zero-day,43,89.95
SQL Injection,IT,694333,Insider,Unpatched Software,48,98.31
Ransomware,Government,968822,Nation-state,Weak Passwords,25,38.87
DDoS,Banking,976838,Unknown,Weak Passwords,65,18.87
DDoS,Education,22739,Insider,Unpatched Software,44,54.63
Man-in-the-Middle,Retail,657442,Nation-state,Social Engineering,29,7.92
Phishing,Education,257681,Nation-state,Zero-day,40,57.59
Man-in-the-Middle,Retail,536471,Hacker Group,Weak Passwords,72,9.97
Ransomware,IT,824619,Unknown,Social Engineering,21,84.02
SQL Injection,Government,538804,Hacker Group,Weak Passwords,43,77.94
Phishing,Healthcare,463704,Hacker Group,Weak Passwords,14,49.32
Man-in-the-Middle,Telecommunications,596341,Insider,Weak Passwords,9,66.61
Malware,Retail,529588,Nation-state,Weak Passwords,65,89.71
Man-in-the-Middle,Retail,22241,Hacker Group,Zero-day,5,43.28
Phishing,Banking,434936,Hacker Group,Zero-day,24,21.65
Malware,IT,52191,Nation-state,Weak Passwords,72,33.61
Malware,Banking,242247,Insider,Social Engineering,29,8.24
Phishing,Banking,372427,Insider,Weak Passwords,72,34.5
Ransomware,Healthcare,796351,Nation-state,Weak Passwords,21,67.25
SQL Injection,Telecommunications,505831,Hacker Group,Social Engineering,40,38.29
Malware,Government,743344,Insider,Zero-day,4,32.59
Phishing,Healthcare,651809,Unknown,Unpatched Software,17,70.4
SQL Injection,Telecommunications,839281,Insider,Weak Passwords,25,31.54
SQL Injection,Retail,99876,Insider,Unpatched Software,56,84.79
SQL Injection,Telecommunications,836521,Insider,Weak Passwords,19,98.39
SQL Injection,Retail,392831,Nation-state,Weak Passwords,71,43.73
Ransomware,Government,99312,Unknown,Zero-day,60,86.88
Malware,Education,945147,Insider,Zero-day,20,26.24
DDoS,IT,943039,Insider,Zero-day,28,26.29
Malware,Retail,670642,Unknown,Unpatched Software,10,76.81
Malware,Banking,194553,Hacker Group,Social Engineering,48,36.2
Ransomware,Education,257224,Hacker Group,Social Engineering,46,49.56
DDoS,Banking,891815,Unknown,Weak Passwords,19,58.96
Ransomware,Banking,168617,Hacker Group,Unpatched Software,16,98.05
Ransomware,Government,701152,Nation-state,Social Engineering,53,83.67
SQL Injection,Banking,749609,Nation-state,Zero-day,28,30.66
Man-in-the-Middle,Government,658712,Hacker Group,Unpatched Software,25,86.74
DDoS,Retail,642501,Hacker Group,Zero-day,19,77.74
Malware,Banking,817255,Hacker Group,Weak Passwords,62,92.65
Ransomware,Government,92237,Nation-state,Weak Passwords,47,5.96
Man-in-the-Middle,Telecommunications,156195,Nation-state,Unpatched Software,58,66.91
Man-in-the-Middle,IT,618125,Nation-state,Zero-day,16,23.38
Man-in-the-Middle,Banking,828293,Insider,Weak Passwords,64,82.04
Malware,Telecommunications,436100,Unknown,Zero-day,12,6.09
DDoS,Retail,787194,Unknown,Zero-day,51,14.12
Phishing,Retail,380086,Nation-state,Social Engineering,65,31.52
Malware,Healthcare,330581,Unknown,Zero-day,54,13.74
SQL Injection,IT,672966,Hacker Group,Zero-day,13,99.99
Malware,Telecommunications,772330,Hacker Group,Unpatched Software,20,19.56
Man-in-the-Middle,Telecommunications,255844,Insider,Unpatched Software,8,81.61
Ransomware,Government,107009,Nation-state,Social Engineering,67,80.7
SQL Injection,Retail,872095,Nation-state,Unpatched Software,44,10.41
DDoS,Banking,50427,Hacker Group,Zero-day,5,85.36
Phishing,Retail,599197,Unknown,Zero-day,8,15.24
Malware,Telecommunications,459643,Nation-state,Weak Passwords,10,40.08
DDoS,Telecommunications,950257,Nation-state,Weak Passwords,61,10.2
Phishing,Healthcare,496317,Hacker Group,Weak Passwords,62,72.53
Man-in-the-Middle,Healthcare,596078,Hacker Group,Weak Passwords,10,96.36
Ransomware,Banking,701522,Insider,Social Engineering,10,88.63
Man-in-the-Middle,Healthcare,357124,Nation-state,Weak Passwords,31,37.15
SQL Injection,Government,112688,Nation-state,Social Engineering,15,47.92
Phishing,Retail,743107,Hacker Group,Social Engineering,49,14.46
Man-in-the-Middle,Banking,947465,Unknown,Unpatched Software,69,32.47
Ransomware,Government,358572,Hacker Group,Weak Passwords,48,81.97
Malware,IT,430701,Hacker Group,Unpatched Software,54,92.08
DDoS,Banking,281900,Hacker Group,Zero-day,1,94.48
Malware,IT,391257,Hacker Group,Zero-day,66,84.74
Man-in-the-Middle,Banking,277875,Nation-state,Social Engineering,43,81.8
DDoS,IT,207244,Hacker Group,Zero-day,38,33.27
Malware,Healthcare,294133,Insider,Social Engineering,20,66.96
Ransomware,Telecommunications,66852,Hacker Group,Weak Passwords,58,71.4
Ransomware,Telecommunications,54722,Nation-state,Social Engineering,13,67.47
Phishing,Education,178951,Nation-state,Weak Passwords,26,17.32
Ransomware,Healthcare,682791,Insider,Social Engineering,44,17.24
SQL Injection,Education,888205,Nation-state,Weak Passwords,38,17.05
Phishing,IT,794901,Insider,Zero-day,26,52.19
DDoS,Government,978683,Insider,Zero-day,35,27.44
Phishing,Telecommunications,639279,Nation-state,Zero-day,44,73.77
Malware,Retail,675338,Hacker Group,Weak Passwords,54,10.94
Man-in-the-Middle,Government,147589,Insider,Unpatched Software,31,42.24
DDoS,Government,646824,Hacker Group,Zero-day,2,82.39
Phishing,Government,465317,Insider,Social Engineering,20,37.62
Malware,IT,233379,Unknown,Unpatched Software,50,21.53
Malware,IT,684108,Unknown,Weak Passwords,24,43.51
DDoS,Healthcare,130510,Unknown,Social Engineering,66,44.32
Man-in-the-Middle,Banking,489853,Nation-state,Zero-day,28,43.45
Malware,Healthcare,25905,Nation-state,Unpatched Software,40,47.92
Malware,IT,795367,Hacker Group,Zero-day,55,73.74
Man-in-the-Middle,Retail,349335,Nation-state,Zero-day,27,93.25
Ransomware,Government,366147,Hacker Group,Weak Passwords,38,13.92
Phishing,Government,25094,Nation-state,Unpatched Software,42,41.1
Phishing,Retail,988889,Nation-state,Unpatched Software,31,44.08
Man-in-the-Middle,IT,216303,Hacker Group,Unpatched Software,49,65.19
Ransomware,Healthcare,388211,Nation-state,Weak Passwords,22,21.54
Man-in-the-Middle,Education,30235,Insider,Weak Passwords,47,83.61
Malware,Banking,109083,Nation-state,Weak Passwords,49,13.99
Malware,Healthcare,397361,Hacker Group,Weak Passwords,57,49.09
Ransomware,Retail,329026,Nation-state,Weak Passwords,31,32.16
Man-in-the-Middle,IT,889521,Nation-state,Weak Passwords,51,45.5
SQL Injection,Healthcare,849755,Insider,Weak Passwords,46,73.16
Phishing,Education,631101,Unknown,Zero-day,36,70.2
DDoS,Healthcare,625954,Insider,Weak Passwords,71,10.62
Man-in-the-Middle,IT,220769,Unknown,Zero-day,71,26.65
SQL Injection,Healthcare,527443,Hacker Group,Unpatched Software,24,52.01
DDoS,Government,846169,Hacker Group,Zero-day,59,32.71
Malware,Education,783239,Unknown,Social Engineering,41,47.46
Malware,Telecommunications,104772,Unknown,Social Engineering,43,11.39
DDoS,Telecommunications,33098,Hacker Group,Zero-day,8,31.68
Man-in-the-Middle,Healthcare,512847,Insider,Social Engineering,72,65.78
SQL Injection,Banking,840106,Insider,Weak Passwords,44,71.01
SQL Injection,Healthcare,269458,Insider,Zero-day,15,69.57
Ransomware,Healthcare,242893,Nation-state,Zero-day,50,66.84
Phishing,Education,605947,Insider,Zero-day,13,5.25
SQL Injection,Education,468399,Nation-state,Zero-day,56,60.57
Ransomware,IT,503774,Hacker Group,Zero-day,37,61.68
Phishing,Retail,754278,Insider,Social Engineering,46,45.74
SQL Injection,IT,126120,Unknown,Social Engineering,39,89.81
Malware,IT,210024,Hacker Group,Weak Passwords,20,73.27
DDoS,Banking,970775,Insider,Unpatched Software,21,51.33
Ransomware,Education,832471,Insider,Social Engineering,54,19.84
Phishing,IT,165316,Unknown,Zero-day,61,97.25
DDoS,Retail,990886,Insider,Weak Passwords,59,2.96
Malware,Telecommunications,370146,Nation-state,Zero-day,55,82.28
Man-in-the-Middle,Retail,284823,Unknown,Social Engineering,50,49.59
Malware,Healthcare,742857,Nation-state,Weak Passwords,49,65.14
DDoS,Healthcare,484101,Hacker Group,Unpatched Software,9,70.0
Ransomware,Telecommunications,368441,Hacker Group,Weak Passwords,71,22.58
Malware,Banking,945465,Unknown,Weak Passwords,5,55.42
DDoS,Healthcare,551900,Unknown,Social Engineering,17,27.08
Malware,Banking,731722,Hacker Group,Weak Passwords,28,73.02
Phishing,Banking,436597,Insider,Unpatched Software,33,88.73
DDoS,Education,728830,Insider,Zero-day,45,16.35
Ransomware,IT,826018,Hacker Group,Weak Passwords,24,85.61
Ransomware,Telecommunications,791323,Insider,Unpatched Software,40,76.61
SQL Injection,Banking,117454,Insider,Unpatched Software,19,42.77
Ransomware,Retail,986882,Hacker Group,Weak Passwords,45,95.3
Phishing,IT,770227,Unknown,Zero-day,20,78.12
SQL Injection,Government,997411,Nation-state,Social Engineering,25,21.33
Malware,Education,640603,Hacker Group,Unpatched Software,23,66.93
Phishing,Telecommunications,499671,Hacker Group,Weak Passwords,4,81.54
Phishing,Retail,805905,Nation-state,Social Engineering,54,12.64
Phishing,Retail,377252,Nation-state,Unpatched Software,8,43.2
Ransomware,Retail,653168,Unknown,Weak Passwords,3,20.58
Phishing,IT,955790,Nation-state,Zero-day,44,26.62
Phishing,Telecommunications,734448,Unknown,Social Engineering,37,15.56
Ransomware,Retail,425647,Unknown,Zero-day,4,12.97
SQL Injection,Banking,278315,Unknown,Unpatched Software,3,98.04
Man-in-the-Middle,Telecommunications,294447,Unknown,Zero-day,54,63.35
DDoS,Education,384988,Insider,Zero-day,19,26.57
Man-in-the-Middle,Education,141411,Insider,Unpatched Software,58,29.58
Phishing,Healthcare,581712,Insider,Social Engineering,12,72.54
Ransomware,Education,100749,Unknown,Zero-day,62,35.16
Malware,Education,217880,Nation-state,Unpatched Software,48,56.94
Man-in-the-Middle,Telecommunications,357542,Hacker Group,Zero-day,21,99.71
Malware,Telecommunications,347426,Hacker Group,Zero-day,36,77.18
Man-in-the-Middle,Education,829140,Nation-state,Unpatched Software,2,36.92
SQL Injection,Healthcare,683189,Unknown,Zero-day,19,42.8
Ransomware,Banking,453441,Hacker Group,Unpatched Software,29,89.41
Malware,IT,673439,Insider,Weak Passwords,13,33.34
SQL Injection,Telecommunications,832297,Nation-state,Weak Passwords,69,13.94
